event_name,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url
UFC 314: Volkanovski vs. Lopes,Kerry Hatley,Michael Chandler,Paddy Pimblett,Paddy Pimblett,5,F,Lightweight,M,KO/TKO,Elbows to Head From Mount,3,3:07,http://ufcstats.com/fight-details/d05cb4c4135ce402
UFC 314: Volkanovski vs. Lopes,Andrew Glenn,Yair Rodriguez,Patricio Freire,Yair Rodriguez,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/d3be5a4e0ec273e2
UFC 314: Volkanovski vs. Lopes,Mike Beltran,Bryce Mitchell,Jean Silva,Jean Silva,3,F,Featherweight,M,Submission,Guillotine Choke In Clinch,2,3:52,http://ufcstats.com/fight-details/8c540eb4afe8c43e
UFC 314: Volkanovski vs. Lopes,Marc Goddard,Nikita Krylov,Dominick Reyes,Dominick Reyes,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,2:24,http://ufcstats.com/fight-details/b2d731415bd367df
UFC 314: Volkanovski vs. Lopes,Andrew Glenn,Dan Ige,Sean Woodson,Dan Ige,3,F,Featherweight,M,KO/TKO,Punches to Head On Ground,3,1:12,http://ufcstats.com/fight-details/fc43d60cbd6b0e6a
UFC 314: Volkanovski vs. Lopes,Mike Beltran,Yan Xiaonan,Virna Jandiroba,Virna Jandiroba,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/0eccebee160137b1
UFC 314: Volkanovski vs. Lopes,Kerry Hatley,Jim Miller,Chase Hooper,Chase Hooper,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/11eb27a1ac74d225
UFC 314: Volkanovski vs. Lopes,Mike Beltran,Darren Elkins,Julian Erosa,Julian Erosa,3,F,Featherweight,M,KO/TKO,Punches to Head On Ground,1,4:15,http://ufcstats.com/fight-details/08e7a39eb7482ebf
UFC 314: Volkanovski vs. Lopes,Marc Goddard,Sedriques Dumas,Michal Oleksiejczuk,Michal Oleksiejczuk,3,F,Middleweight,M,KO/TKO,Punches to Head On Ground,1,2:49,http://ufcstats.com/fight-details/4bbda6c1f6cf9d4e
UFC 314: Volkanovski vs. Lopes,Andrew Glenn,Sumudaerji,Mitch Raposo,Sumudaerji,3,F,Flyweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/fd98843926965cbd
